iter	Passed	Remaining
0	55	55612
1	55	27892
2	56	18654
3	56	14035
4	56	11258
5	56	9409
6	57	8088
7	57	7098
8	57	6328
9	57	5711
10	57	5206
11	58	4786
12	58	4429
13	58	4124
14	58	3860
15	59	3629
16	59	3425
17	59	3245
18	59	3081
19	59	2935
20	60	2803
21	60	2684
22	60	2574
23	60	2473
24	61	2381
25	61	2297
26	61	2219
27	61	2145
28	62	2076
29	62	2013
30	62	1954
31	62	1898
32	63	1846
33	63	1796
34	63	1749
35	63	1706
36	64	1666
37	64	1626
38	64	1590
39	64	1555
40	65	1523
41	65	1490
42	65	1459
43	65	1428
44	66	1402
45	66	1376
46	66	1351
47	66	1326
48	67	1302
49	67	1280
50	67	1258
51	67	1237
52	68	1217
53	68	1197
54	68	1178
55	68	1159
56	69	1142
57	69	1124
58	69	1107
59	69	1091
60	69	1074
61	70	1059
62	70	1044
63	70	1029
64	70	1016
65	70	1002
66	71	989
67	71	975
68	71	962
69	71	951
70	71	939
71	72	928
72	72	917
73	72	906
74	72	895
75	72	885
76	73	875
77	73	865
78	73	855
79	73	846
80	73	837
81	74	828
82	74	820
83	74	811
84	74	802
85	74	794
86	74	785
87	75	777
88	75	769
89	75	762
90	75	755
91	75	748
92	76	741
93	76	734
94	76	727
95	76	721
96	76	714
97	76	708
98	77	702
99	77	696
100	77	690
101	77	683
102	77	677
103	78	672
104	78	667
105	78	661
106	78	656
107	78	651
108	79	646
109	79	641
110	79	636
111	79	631
112	79	626
113	80	621
114	80	617
115	80	612
116	80	607
117	80	603
118	80	598
119	81	594
120	81	590
121	81	585
122	81	581
123	81	576
124	81	573
125	82	569
126	82	565
127	82	560
128	82	557
129	82	553
130	82	550
131	83	546
132	83	542
133	83	539
134	83	535
135	83	532
136	84	529
137	84	525
138	84	522
139	84	519
140	84	516
141	84	513
142	85	510
143	85	507
144	85	504
145	85	501
146	85	498
147	86	495
148	86	492
149	86	490
150	86	487
151	86	484
152	87	481
153	87	479
154	87	476
155	87	473
156	87	471
157	87	468
158	88	466
159	88	463
160	88	461
161	88	458
162	88	456
163	89	454
164	89	451
165	89	449
166	89	447
167	89	444
168	90	442
169	90	440
170	90	438
171	90	436
172	90	433
173	90	431
174	91	429
175	91	427
176	92	428
177	92	426
178	92	424
179	92	422
180	92	419
181	93	418
182	93	416
183	93	414
184	93	412
185	93	410
186	93	408
187	94	406
188	94	404
189	94	402
190	94	400
191	94	399
192	95	397
193	95	395
194	95	393
195	95	391
196	95	390
197	95	388
198	96	386
199	96	384
200	96	383
201	96	381
202	96	380
203	97	378
204	97	376
205	97	375
