iter	Passed	Remaining
0	57	57466
1	57	28821
2	57	19266
3	58	14489
4	58	11621
5	58	9712
6	58	8349
7	59	7324
8	59	6526
9	59	5892
10	59	5373
11	60	4942
12	60	4575
13	60	4261
14	60	3988
15	60	3748
16	61	3536
17	61	3348
18	61	3180
19	61	3029
20	62	2893
21	62	2768
22	62	2654
23	62	2549
24	62	2454
25	63	2365
26	63	2283
27	63	2207
28	63	2136
29	64	2070
30	64	2008
31	64	1950
32	64	1894
33	64	1842
34	65	1794
35	65	1748
36	65	1704
37	65	1663
38	65	1624
39	66	1587
40	66	1552
41	66	1518
42	66	1486
43	66	1455
44	67	1425
45	67	1397
46	67	1371
47	67	1346
48	68	1321
49	68	1297
50	68	1275
51	68	1253
52	68	1232
53	69	1211
54	69	1191
55	69	1172
56	69	1154
57	69	1136
58	70	1119
59	70	1103
60	70	1087
61	70	1072
62	71	1056
63	71	1042
64	71	1027
65	71	1014
66	71	1000
67	72	987
68	72	974
69	72	962
70	72	950
71	72	938
72	73	927
73	73	916
74	73	905
75	73	895
76	73	885
77	74	875
78	74	865
79	74	855
80	74	846
81	74	837
82	74	827
83	75	818
84	75	810
85	75	802
86	75	795
87	75	787
88	76	779
89	76	772
90	76	764
91	76	757
92	76	750
93	77	743
94	77	736
95	77	729
96	77	723
97	77	716
98	78	710
99	78	704
100	78	698
101	78	692
102	78	687
103	79	681
104	79	675
105	79	670
106	79	664
107	79	659
108	80	654
109	80	649
110	80	644
111	80	639
112	80	634
113	81	629
114	81	625
115	81	620
116	81	615
117	81	610
118	81	606
119	82	602
120	82	598
121	82	593
122	82	589
123	82	585
124	83	581
125	83	577
126	83	573
127	83	569
128	83	566
129	84	562
130	84	559
131	84	555
132	84	551
133	84	548
134	85	544
135	85	541
136	85	538
137	85	534
138	85	531
139	85	528
140	86	524
141	86	521
142	86	517
143	86	514
144	86	511
145	86	508
146	87	505
147	87	502
148	87	500
149	87	497
150	87	494
151	88	491
152	88	488
153	88	486
154	88	483
155	88	481
156	89	478
157	89	476
158	89	473
159	89	471
160	89	468
161	90	465
162	90	463
163	90	460
164	90	458
165	90	456
166	90	453
167	91	451
168	91	449
169	91	446
170	91	444
171	91	442
172	92	440
173	92	438
174	92	436
175	92	434
176	92	432
177	93	430
178	93	427
179	93	425
180	93	423
181	93	421
182	94	420
183	94	418
184	94	416
185	94	414
186	94	412
187	95	410
188	95	408
189	95	406
190	95	405
191	95	403
192	96	401
193	96	399
194	96	397
195	96	396
196	96	394
197	96	392
198	97	391
199	97	389
200	97	387
201	97	386
202	97	384
203	98	382
204	98	381
205	98	379
206	98	378
207	98	376
208	99	374
209	99	373
210	99	371
211	99	370
212	99	368
213	100	367
214	100	365
215	100	364
216	100	362
217	100	361
218	100	359
219	101	358
220	101	356
221	101	355
222	101	354
223	101	352
224	102	351
225	102	349
226	102	348
227	102	347
228	102	345
229	102	344
230	103	343
231	103	341
232	103	340
233	103	339
234	103	337
235	103	336
236	104	335
237	104	333
238	104	332
239	104	331
240	104	330
241	104	328
242	105	327
243	105	326
244	105	325
245	105	324
246	105	322
247	106	321
248	106	320
249	106	319
250	106	318
251	106	317
252	107	316
253	107	314
254	107	313
255	107	312
256	107	311
257	108	310
258	108	309
259	108	308
260	108	307
261	108	306
262	108	305
263	109	304
264	109	303
265	109	301
266	109	300
267	109	299
268	109	298
269	110	297
270	110	296
271	110	295
272	110	294
273	110	293
274	111	292
275	111	291
276	111	290
277	111	289
278	111	288
279	111	287
280	112	287
281	112	286
282	112	285
283	112	284
284	112	283
285	113	282
286	113	281
287	113	280
288	113	279
289	113	278
290	114	277
291	114	276
292	114	276
293	114	275
294	114	274
295	115	273
296	115	272
297	115	271
298	115	271
299	115	270
300	115	269
301	116	268
302	116	267
303	116	266
304	116	265
305	116	265
306	117	264
307	117	263
308	117	262
309	117	261
310	117	260
311	117	260
312	118	259
313	118	258
314	118	257
315	118	256
316	118	256
317	119	255
318	119	254
319	119	253
320	119	253
321	119	252
322	120	251
323	120	250
324	120	250
325	120	249
326	120	248
327	121	247
328	121	247
329	121	246
330	121	245
331	121	244
332	121	244
333	122	243
334	122	242
335	122	241
336	122	241
337	122	240
338	123	239
339	123	239
340	123	238
341	123	237
342	123	236
343	123	236
344	124	235
345	124	234
346	124	234
347	124	233
348	124	232
349	124	232
350	125	231
351	125	230
352	125	230
353	125	229
354	125	228
355	126	227
356	126	227
357	126	226
358	126	225
359	126	225
360	126	224
361	127	224
362	127	223
363	127	222
364	127	222
365	127	221
366	128	220
367	128	220
368	128	219
369	128	218
370	128	218
371	128	217
372	129	217
373	129	216
374	129	215
375	129	215
376	129	214
377	130	213
378	130	213
379	130	212
380	130	212
381	130	211
382	130	211
383	131	210
384	131	209
385	131	209
386	131	208
387	131	208
388	132	207
389	132	206
390	132	206
391	132	205
392	132	205
393	132	204
394	133	203
395	133	203
396	133	202
397	133	202
398	133	201
399	134	201
400	134	200
401	134	199
402	134	199
403	134	198
404	134	198
405	135	197
406	135	197
407	135	196
408	135	196
409	135	195
410	136	194
411	136	194
412	136	193
413	136	193
414	136	192
415	136	192
416	137	191
417	137	191
418	137	190
419	137	190
420	137	189
421	138	189
422	138	188
423	138	188
424	138	187
425	138	186
426	138	186
427	139	185
428	139	185
429	139	184
430	139	184
431	139	183
432	139	183
433	140	182
434	140	182
435	140	181
436	140	181
437	140	180
438	141	180
439	141	179
440	141	179
441	141	178
442	141	178
443	142	177
444	142	177
445	142	176
446	142	176
447	142	175
448	142	175
449	143	174
450	143	174
451	143	173
452	143	173
